	x		sin(x)		sin'(x)
      1.85	      1.08	      0.23
      1.86	      1.08	      0.22
      1.87	      1.08	      0.22
      1.88	      1.08	      0.22
      1.89	      1.08	      0.22
      1.90	      1.09	      0.22
      1.91	      1.09	      0.21
      1.92	      1.09	      0.21
      1.93	      1.09	      0.21
      1.94	      1.09	      0.21
      1.95	      1.10	      0.21
      1.96	      1.10	      0.21
      1.97	      1.10	      0.20
      1.98	      1.10	      0.20
      1.99	      1.11	      0.20
      2.00	      1.11	      0.20
      2.01	      1.11	      0.20
      2.02	      1.11	      0.20
      2.03	      1.11	      0.19
      2.04	      1.12	      0.19
      2.05	      1.12	      0.19
      2.06	      1.12	      0.19
      2.07	      1.12	      0.19
      2.08	      1.12	      0.19
      2.09	      1.12	      0.19
      2.10	      1.13	      0.18
      2.11	      1.13	      0.18
      2.12	      1.13	      0.18
      2.13	      1.13	      0.18
      2.14	      1.13	      0.18
      2.15	      1.14	      0.18
      2.16	      1.14	      0.18
      2.17	      1.14	      0.17
      2.18	      1.14	      0.17
      2.19	      1.14	      0.17
      2.20	      1.14	      0.17
      2.21	      1.15	      0.17
      2.22	      1.15	      0.17
      2.23	      1.15	      0.17
      2.24	      1.15	      0.17
      2.25	      1.15	      0.16
      2.26	      1.15	      0.16
      2.27	      1.16	      0.16
      2.28	      1.16	      0.16
      2.29	      1.16	      0.16
      2.30	      1.16	      0.16
      2.31	      1.16	      0.16
      2.32	      1.16	      0.16
      2.33	      1.17	      0.15
      2.34	      1.17	      0.15
      2.35	      1.17	      0.15
      2.36	      1.17	      0.15
      2.37	      1.17	      0.15
      2.38	      1.17	      0.15
      2.39	      1.17	      0.15
      2.40	      1.18	      0.15
      2.41	      1.18	      0.15
      2.42	      1.18	      0.15
      2.43	      1.18	      0.14
      2.44	      1.18	      0.14
      2.45	      1.18	      0.14
      2.46	      1.18	      0.14
      2.47	      1.19	      0.14
      2.48	      1.19	      0.14
      2.49	      1.19	      0.14
      2.50	      1.19	      0.14
      2.51	      1.19	      0.14
      2.52	      1.19	      0.14
      2.53	      1.19	      0.13
      2.54	      1.20	      0.13
      2.55	      1.20	      0.13
      2.56	      1.20	      0.13
      2.57	      1.20	      0.13
      2.58	      1.20	      0.13
      2.59	      1.20	      0.13
      2.60	      1.20	      0.13
      2.61	      1.20	      0.13
      2.62	      1.21	      0.13
      2.63	      1.21	      0.13
      2.64	      1.21	      0.13
      2.65	      1.21	      0.12
      2.66	      1.21	      0.12
      2.67	      1.21	      0.12
      2.68	      1.21	      0.12
      2.69	      1.21	      0.12
      2.70	      1.22	      0.12
      2.71	      1.22	      0.12
      2.72	      1.22	      0.12
      2.73	      1.22	      0.12
      2.74	      1.22	      0.12
      2.75	      1.22	      0.12
      2.76	      1.22	      0.12
      2.77	      1.22	      0.11
      2.78	      1.23	      0.11
      2.79	      1.23	      0.11
      2.80	      1.23	      0.11
      2.81	      1.23	      0.11
      2.82	      1.23	      0.11
      2.83	      1.23	      0.11
      2.84	      1.23	      0.11
      2.85	      1.23	      0.11
      2.86	      1.23	      0.11
      2.87	      1.24	      0.11
      2.88	      1.24	      0.11
      2.89	      1.24	      0.11
      2.90	      1.24	      0.11
      2.91	      1.24	      0.11
      2.92	      1.24	      0.10
      2.93	      1.24	      0.10
      2.94	      1.24	      0.10
      2.95	      1.24	      0.10
      2.96	      1.24	      0.10
      2.97	      1.25	      0.10
      2.98	      1.25	      0.10
      2.99	      1.25	      0.10
      3.00	      1.25	      0.10
      3.01	      1.25	      0.10
      3.02	      1.25	      0.10
      3.03	      1.25	      0.10
      3.04	      1.25	      0.10
      3.05	      1.25	      0.10
      3.06	      1.25	      0.10
      3.07	      1.26	      0.10
      3.08	      1.26	      0.10
      3.09	      1.26	      0.09
      3.10	      1.26	      0.09
      3.11	      1.26	      0.09
      3.12	      1.26	      0.09
      3.13	      1.26	      0.09
      3.14	      1.26	      0.09
      3.15	      1.26	      0.09
      3.16	      1.26	      0.09
      3.17	      1.27	      0.09
      3.18	      1.27	      0.09
      3.19	      1.27	      0.09
      3.20	      1.27	      0.09
      3.21	      1.27	      0.09
      3.22	      1.27	      0.09
      3.23	      1.27	      0.09
      3.24	      1.27	      0.09
      3.25	      1.27	      0.09
      3.26	      1.27	      0.09
      3.27	      1.27	      0.09
      3.28	      1.27	      0.08
      3.29	      1.28	      0.08
      3.30	      1.28	      0.08
      3.31	      1.28	      0.08
      3.32	      1.28	      0.08
      3.33	      1.28	      0.08
      3.34	      1.28	      0.08
      3.35	      1.28	      0.08
      3.36	      1.28	      0.08
      3.37	      1.28	      0.08
      3.38	      1.28	      0.08
      3.39	      1.28	      0.08
      3.40	      1.28	      0.08
      3.41	      1.29	      0.08
      3.42	      1.29	      0.08
      3.43	      1.29	      0.08
      3.44	      1.29	      0.08
      3.45	      1.29	      0.08
      3.46	      1.29	      0.08
      3.47	      1.29	      0.08
      3.48	      1.29	      0.08
      3.49	      1.29	      0.08
      3.50	      1.29	      0.08
      3.51	      1.29	      0.07
      3.52	      1.29	      0.07
      3.53	      1.29	      0.07
      3.54	      1.30	      0.07
      3.55	      1.30	      0.07
      3.56	      1.30	      0.07
      3.57	      1.30	      0.07
      3.58	      1.30	      0.07
      3.59	      1.30	      0.07
      3.60	      1.30	      0.07
      3.61	      1.30	      0.07
      3.62	      1.30	      0.07
      3.63	      1.30	      0.07
      3.64	      1.30	      0.07
      3.65	      1.30	      0.07
      3.66	      1.30	      0.07
      3.67	      1.30	      0.07
      3.68	      1.31	      0.07
      3.69	      1.31	      0.07
      3.70	      1.31	      0.07
      3.71	      1.31	      0.07
      3.72	      1.31	      0.07
      3.73	      1.31	      0.07
      3.74	      1.31	      0.07
      3.75	      1.31	      0.07
      3.76	      1.31	      0.07
      3.77	      1.31	      0.07
      3.78	      1.31	      0.07
      3.79	      1.31	      0.06
      3.80	      1.31	      0.06
      3.81	      1.31	      0.06
      3.82	      1.31	      0.06
      3.83	      1.32	      0.06
      3.84	      1.32	      0.06
      3.85	      1.32	      0.06
      3.86	      1.32	      0.06
      3.87	      1.32	      0.06
      3.88	      1.32	      0.06
      3.89	      1.32	      0.06
      3.90	      1.32	      0.06
      3.91	      1.32	      0.06
      3.92	      1.32	      0.06
      3.93	      1.32	      0.06
      3.94	      1.32	      0.06
      3.95	      1.32	      0.06
      3.96	      1.32	      0.06
      3.97	      1.32	      0.06
      3.98	      1.32	      0.06
      3.99	      1.33	      0.06
      4.00	      1.33	      0.06
      4.01	      1.33	      0.06
      4.02	      1.33	      0.06
      4.03	      1.33	      0.06
      4.04	      1.33	      0.06
      4.05	      1.33	      0.06
      4.06	      1.33	      0.06
      4.07	      1.33	      0.06
      4.08	      1.33	      0.06
      4.09	      1.33	      0.06
      4.10	      1.33	      0.06
      4.11	      1.33	      0.06
      4.12	      1.33	      0.06
      4.13	      1.33	      0.06
      4.14	      1.33	      0.06
      4.15	      1.33	      0.05
      4.16	      1.33	      0.05
      4.17	      1.34	      0.05
      4.18	      1.34	      0.05
      4.19	      1.34	      0.05
      4.20	      1.34	      0.05
      4.21	      1.34	      0.05
      4.22	      1.34	      0.05
      4.23	      1.34	      0.05
      4.24	      1.34	      0.05
      4.25	      1.34	      0.05
      4.26	      1.34	      0.05
      4.27	      1.34	      0.05
      4.28	      1.34	      0.05
      4.29	      1.34	      0.05
      4.30	      1.34	      0.05
      4.31	      1.34	      0.05
      4.32	      1.34	      0.05
      4.33	      1.34	      0.05
      4.34	      1.34	      0.05
      4.35	      1.34	      0.05
      4.36	      1.35	      0.05
      4.37	      1.35	      0.05
      4.38	      1.35	      0.05
      4.39	      1.35	      0.05
      4.40	      1.35	      0.05
      4.41	      1.35	      0.05
      4.42	      1.35	      0.05
